# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 10.0 Build 262 08/18/2010 Service Pack 1 SJ Web Edition
# File: C:/Users/gopi/Desktop/Tajana/TA FA 10/Lab-4/up3_cpu/tinycpu/HamblenCh9/DE2_TOP.csv
# Generated on: Wed Nov 17 10:48:45 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
DRAM_DQ[8],Bidir,PIN_W6,1,B1_N1,,
DRAM_DQ[7],Bidir,PIN_V7,1,B1_N1,,
DRAM_DQ[6],Bidir,PIN_T8,1,B1_N1,,
DRAM_DQ[5],Bidir,PIN_R8,1,B1_N1,,
DRAM_DQ[4],Bidir,PIN_Y4,1,B1_N1,,
DRAM_DQ[3],Bidir,PIN_Y3,1,B1_N1,,
DRAM_DQ[2],Bidir,PIN_AA1,1,B1_N1,,
DRAM_DQ[1],Bidir,PIN_AA2,1,B1_N1,,
DRAM_DQ[0],Bidir,PIN_V6,1,B1_N1,,
DRAM_LDQM,Output,PIN_AD2,1,B1_N1,,
DRAM_RAS_N,Output,PIN_AB4,1,B1_N1,,
DRAM_UDQM,Output,PIN_Y5,1,B1_N1,,
DRAM_WE_N,Output,PIN_AD3,1,B1_N1,,
ENET_CLK,Output,PIN_B24,5,B5_N0,,
ENET_CMD,Output,PIN_A21,4,B4_N0,,
ENET_CS_N,Output,PIN_A23,4,B4_N0,,
ENET_DATA[15],Bidir,PIN_D18,4,B4_N0,,
ENET_DATA[14],Bidir,PIN_E18,4,B4_N0,,
ENET_DATA[13],Bidir,PIN_A19,4,B4_N0,,
ENET_DATA[12],Bidir,PIN_B19,4,B4_N0,,
ENET_DATA[11],Bidir,PIN_D19,4,B4_N0,,
ENET_DATA[10],Bidir,PIN_C19,4,B4_N0,,
ENET_DATA[9],Bidir,PIN_A20,4,B4_N0,,
ENET_DATA[8],Bidir,PIN_B20,4,B4_N0,,
ENET_DATA[7],Bidir,PIN_B15,4,B4_N1,,
ENET_DATA[6],Bidir,PIN_B16,4,B4_N1,,
ENET_DATA[5],Bidir,PIN_A17,4,B4_N1,,
ENET_DATA[4],Bidir,PIN_B17,4,B4_N1,,
ENET_DATA[3],Bidir,PIN_A18,4,B4_N1,,
ENET_DATA[2],Bidir,PIN_B18,4,B4_N1,,
ENET_DATA[1],Bidir,PIN_C17,4,B4_N1,,
ENET_DATA[0],Bidir,PIN_D17,4,B4_N1,,
ENET_INT,Input,PIN_B21,4,B4_N0,,
ENET_RD_N,Output,PIN_A22,4,B4_N0,,
ENET_RST_N,Output,PIN_B23,4,B4_N0,,
ENET_WR_N,Output,PIN_B22,4,B4_N0,,
EXT_CLOCK,Input,PIN_P26,6,B6_N0,,
FL_ADDR[21],Output,PIN_Y14,7,B7_N1,,
FL_ADDR[20],Output,PIN_Y15,7,B7_N1,,
FL_ADDR[19],Output,PIN_AA15,7,B7_N1,,
FL_ADDR[18],Output,PIN_AB15,7,B7_N1,,
FL_ADDR[17],Output,PIN_AC15,7,B7_N1,,
FL_ADDR[16],Output,PIN_AE16,7,B7_N1,,
FL_ADDR[15],Output,PIN_AD16,7,B7_N1,,
FL_ADDR[14],Output,PIN_AC16,7,B7_N1,,
FL_ADDR[13],Output,PIN_W15,7,B7_N1,,
FL_ADDR[12],Output,PIN_W16,7,B7_N1,,
FL_ADDR[11],Output,PIN_AF17,7,B7_N1,,
FL_ADDR[10],Output,PIN_AE17,7,B7_N1,,
FL_ADDR[9],Output,PIN_AC17,7,B7_N1,,
FL_ADDR[8],Output,PIN_AD17,7,B7_N1,,
FL_ADDR[7],Output,PIN_AA16,7,B7_N1,,
FL_ADDR[6],Output,PIN_Y16,7,B7_N1,,
FL_ADDR[5],Output,PIN_AF18,7,B7_N1,,
FL_ADDR[4],Output,PIN_AE18,7,B7_N1,,
FL_ADDR[3],Output,PIN_AF19,7,B7_N1,,
FL_ADDR[2],Output,PIN_AE19,7,B7_N1,,
FL_ADDR[1],Output,PIN_AB18,7,B7_N0,,
FL_ADDR[0],Output,PIN_AC18,7,B7_N0,,
FL_CE_N,Output,PIN_V17,7,B7_N0,,
FL_DQ[7],Bidir,PIN_AE21,7,B7_N0,,
FL_DQ[6],Bidir,PIN_AF21,7,B7_N0,,
FL_DQ[5],Bidir,PIN_AC20,7,B7_N0,,
FL_DQ[4],Bidir,PIN_AB20,7,B7_N0,,
FL_DQ[3],Bidir,PIN_AE20,7,B7_N0,,
FL_DQ[2],Bidir,PIN_AF20,7,B7_N0,,
FL_DQ[1],Bidir,PIN_AC19,7,B7_N0,,
FL_DQ[0],Bidir,PIN_AD19,7,B7_N0,,
FL_OE_N,Output,PIN_W17,7,B7_N0,,
FL_RST_N,Output,PIN_AA18,7,B7_N0,,
FL_WE_N,Output,PIN_AA17,7,B7_N0,,
GPIO_0[35],Bidir,PIN_L19,5,B5_N1,,
GPIO_0[34],Bidir,PIN_L25,5,B5_N1,,
GPIO_0[33],Bidir,PIN_L24,5,B5_N1,,
GPIO_0[32],Bidir,PIN_L23,5,B5_N1,,
GPIO_0[31],Bidir,PIN_J26,5,B5_N1,,
GPIO_0[30],Bidir,PIN_J25,5,B5_N1,,
GPIO_0[29],Bidir,PIN_L20,5,B5_N1,,
GPIO_0[28],Bidir,PIN_L21,5,B5_N1,,
GPIO_0[27],Bidir,PIN_K24,5,B5_N1,,
GPIO_0[26],Bidir,PIN_K23,5,B5_N1,,
GPIO_0[25],Bidir,PIN_K21,5,B5_N1,,
GPIO_0[24],Bidir,PIN_K19,5,B5_N1,,
GPIO_0[23],Bidir,PIN_K18,5,B5_N1,,
GPIO_0[22],Bidir,PIN_H19,5,B5_N1,,
GPIO_0[21],Bidir,PIN_H26,5,B5_N1,,
GPIO_0[20],Bidir,PIN_H25,5,B5_N1,,
GPIO_0[19],Bidir,PIN_J24,5,B5_N1,,
GPIO_0[18],Bidir,PIN_J23,5,B5_N1,,
GPIO_0[17],Bidir,PIN_H24,5,B5_N1,,
GPIO_0[16],Bidir,PIN_H23,5,B5_N1,,
GPIO_0[15],Bidir,PIN_G25,5,B5_N0,,
GPIO_0[14],Bidir,PIN_K22,5,B5_N0,,
GPIO_0[13],Bidir,PIN_G24,5,B5_N0,,
GPIO_0[12],Bidir,PIN_G23,5,B5_N0,,
GPIO_0[11],Bidir,PIN_P18,5,B5_N0,,
GPIO_0[10],Bidir,PIN_N18,5,B5_N0,,
GPIO_0[9],Bidir,PIN_F26,5,B5_N0,,
GPIO_0[8],Bidir,PIN_F25,5,B5_N0,,
GPIO_0[7],Bidir,PIN_J20,5,B5_N0,,
GPIO_0[6],Bidir,PIN_J21,5,B5_N0,,
GPIO_0[5],Bidir,PIN_F23,5,B5_N0,,
GPIO_0[4],Bidir,PIN_F24,5,B5_N0,,
GPIO_0[3],Bidir,PIN_E25,5,B5_N0,,
GPIO_0[2],Bidir,PIN_E26,5,B5_N0,,
GPIO_0[1],Bidir,PIN_J22,5,B5_N0,,
GPIO_0[0],Bidir,PIN_D25,5,B5_N0,,
GPIO_1[35],Bidir,PIN_W23,6,B6_N1,,
GPIO_1[34],Bidir,PIN_W25,6,B6_N1,,
GPIO_1[33],Bidir,PIN_V23,6,B6_N0,,
GPIO_1[32],Bidir,PIN_V24,6,B6_N0,,
GPIO_1[31],Bidir,PIN_V25,6,B6_N0,,
GPIO_1[30],Bidir,PIN_V26,6,B6_N0,,
GPIO_1[29],Bidir,PIN_U21,6,B6_N0,,
GPIO_1[28],Bidir,PIN_U20,6,B6_N0,,
GPIO_1[27],Bidir,PIN_T19,6,B6_N0,,
GPIO_1[26],Bidir,PIN_R19,6,B6_N0,,
GPIO_1[25],Bidir,PIN_U24,6,B6_N0,,
GPIO_1[24],Bidir,PIN_U23,6,B6_N0,,
GPIO_1[23],Bidir,PIN_U25,6,B6_N0,,
GPIO_1[22],Bidir,PIN_U26,6,B6_N0,,
GPIO_1[21],Bidir,PIN_T20,6,B6_N0,,
GPIO_1[20],Bidir,PIN_T21,6,B6_N0,,
GPIO_1[19],Bidir,PIN_T18,6,B6_N0,,
GPIO_1[18],Bidir,PIN_T25,6,B6_N0,,
GPIO_1[17],Bidir,PIN_T24,6,B6_N0,,
GPIO_1[16],Bidir,PIN_T23,6,B6_N0,,
GPIO_1[15],Bidir,PIN_T22,6,B6_N0,,
GPIO_1[14],Bidir,PIN_R20,6,B6_N0,,
GPIO_1[13],Bidir,PIN_R24,6,B6_N0,,
GPIO_1[12],Bidir,PIN_R25,6,B6_N0,,
GPIO_1[11],Bidir,PIN_P24,6,B6_N0,,
GPIO_1[10],Bidir,PIN_N24,5,B5_N1,,
GPIO_1[9],Bidir,PIN_M25,5,B5_N1,,
GPIO_1[8],Bidir,PIN_M24,5,B5_N1,,
GPIO_1[7],Bidir,PIN_M21,5,B5_N1,,
GPIO_1[6],Bidir,PIN_N20,5,B5_N1,,
GPIO_1[5],Bidir,PIN_M20,5,B5_N1,,
GPIO_1[4],Bidir,PIN_M19,5,B5_N1,,
GPIO_1[3],Bidir,PIN_M23,5,B5_N1,,
GPIO_1[2],Bidir,PIN_M22,5,B5_N1,,
GPIO_1[1],Bidir,PIN_K26,5,B5_N1,,
GPIO_1[0],Bidir,PIN_K25,5,B5_N1,,
HEX0[6],Output,PIN_V13,8,B8_N0,,
HEX0[5],Output,PIN_V14,8,B8_N0,,
HEX0[4],Output,PIN_AE11,8,B8_N0,,
HEX0[3],Output,PIN_AD11,8,B8_N0,,
HEX0[2],Output,PIN_AC12,8,B8_N0,,
HEX0[1],Output,PIN_AB12,8,B8_N0,,
HEX0[0],Output,PIN_AF10,8,B8_N0,,
HEX1[6],Output,PIN_AB24,6,B6_N1,,
HEX1[5],Output,PIN_AA23,6,B6_N1,,
HEX1[4],Output,PIN_AA24,6,B6_N1,,
HEX1[3],Output,PIN_Y22,6,B6_N1,,
HEX1[2],Output,PIN_W21,6,B6_N1,,
HEX1[1],Output,PIN_V21,6,B6_N1,,
HEX1[0],Output,PIN_V20,6,B6_N1,,
HEX2[6],Output,PIN_Y24,6,B6_N1,,
HEX2[5],Output,PIN_AB25,6,B6_N1,,
HEX2[4],Output,PIN_AB26,6,B6_N1,,
HEX2[3],Output,PIN_AC26,6,B6_N1,,
HEX2[2],Output,PIN_AC25,6,B6_N1,,
HEX2[1],Output,PIN_V22,6,B6_N1,,
HEX2[0],Output,PIN_AB23,6,B6_N1,,
HEX3[6],Output,PIN_W24,6,B6_N1,,
HEX3[5],Output,PIN_U22,6,B6_N1,,
HEX3[4],Output,PIN_Y25,6,B6_N1,,
HEX3[3],Output,PIN_Y26,6,B6_N1,,
HEX3[2],Output,PIN_AA26,6,B6_N1,,
HEX3[1],Output,PIN_AA25,6,B6_N1,,
HEX3[0],Output,PIN_Y23,6,B6_N1,,
HEX4[6],Output,PIN_T3,1,B1_N0,,
HEX4[5],Output,PIN_R6,1,B1_N0,,
HEX4[4],Output,PIN_R7,1,B1_N0,,
HEX4[3],Output,PIN_T4,1,B1_N0,,
HEX4[2],Output,PIN_U2,1,B1_N0,,
HEX4[1],Output,PIN_U1,1,B1_N0,,
HEX4[0],Output,PIN_U9,1,B1_N0,,
HEX5[6],Output,PIN_R3,1,B1_N0,,
HEX5[5],Output,PIN_R4,1,B1_N0,,
HEX5[4],Output,PIN_R5,1,B1_N0,,
HEX5[3],Output,PIN_T9,1,B1_N0,,
HEX5[2],Output,PIN_P7,1,B1_N0,,
HEX5[1],Output,PIN_P6,1,B1_N0,,
HEX5[0],Output,PIN_T2,1,B1_N0,,
HEX6[6],Output,PIN_M4,2,B2_N1,,
HEX6[5],Output,PIN_M5,2,B2_N1,,
HEX6[4],Output,PIN_M3,2,B2_N1,,
HEX6[3],Output,PIN_M2,2,B2_N1,,
HEX6[2],Output,PIN_P3,1,B1_N0,,
HEX6[1],Output,PIN_P4,1,B1_N0,,
HEX6[0],Output,PIN_R2,1,B1_N0,,
HEX7[6],Output,PIN_N9,2,B2_N1,,
HEX7[5],Output,PIN_P9,2,B2_N1,,
HEX7[4],Output,PIN_L7,2,B2_N1,,
HEX7[3],Output,PIN_L6,2,B2_N1,,
HEX7[2],Output,PIN_L9,2,B2_N1,,
HEX7[1],Output,PIN_L2,2,B2_N1,,
HEX7[0],Output,PIN_L3,2,B2_N1,,
I2C_SCLK,Output,PIN_A6,3,B3_N1,,
I2C_SDAT,Bidir,PIN_B6,3,B3_N1,,
IRDA_RXD,Input,PIN_AE25,6,B6_N1,,
IRDA_TXD,Output,PIN_AE24,,,,
KEY[3],Input,PIN_W26,6,B6_N1,,
KEY[2],Input,PIN_P23,6,B6_N0,,
KEY[1],Input,PIN_N23,5,B5_N1,,
KEY[0],Input,PIN_G26,5,B5_N0,,
LCD_BLON,Output,PIN_K2,2,B2_N1,,
LCD_DATA[7],Bidir,PIN_H3,2,B2_N1,,
LCD_DATA[6],Bidir,PIN_H4,2,B2_N1,,
LCD_DATA[5],Bidir,PIN_J3,2,B2_N1,,
LCD_DATA[4],Bidir,PIN_J4,2,B2_N1,,
LCD_DATA[3],Bidir,PIN_H2,2,B2_N1,,
LCD_DATA[2],Bidir,PIN_H1,2,B2_N1,,
LCD_DATA[1],Bidir,PIN_J2,2,B2_N1,,
LCD_DATA[0],Bidir,PIN_J1,2,B2_N1,,
LCD_EN,Output,PIN_K3,2,B2_N1,,
LCD_ON,Output,PIN_L4,2,B2_N1,,
LCD_RS,Output,PIN_K1,2,B2_N1,,
LCD_RW,Output,PIN_K4,2,B2_N1,,
LEDG[8],Output,PIN_Y12,8,B8_N0,,
LEDG[7],Output,PIN_Y18,7,B7_N0,,
LEDG[6],Output,PIN_AA20,7,B7_N0,,
LEDG[5],Output,PIN_U17,7,B7_N0,,
LEDG[4],Output,PIN_U18,7,B7_N0,,
LEDG[3],Output,PIN_V18,7,B7_N0,,
LEDG[2],Output,PIN_W19,7,B7_N0,,
LEDG[1],Output,PIN_AF22,7,B7_N0,,
LEDG[0],Output,PIN_AE22,7,B7_N0,,
LEDR[17],Output,PIN_AD12,8,B8_N0,,
LEDR[16],Output,PIN_AE12,8,B8_N0,,
LEDR[15],Output,PIN_AE13,8,B8_N0,,
LEDR[14],Output,PIN_AF13,8,B8_N0,,
LEDR[13],Output,PIN_AE15,7,B7_N1,,
LEDR[12],Output,PIN_AD15,7,B7_N1,,
LEDR[11],Output,PIN_AC14,7,B7_N1,,
LEDR[10],Output,PIN_AA13,7,B7_N1,,
LEDR[9],Output,PIN_Y13,7,B7_N1,,
LEDR[8],Output,PIN_AA14,7,B7_N1,,
LEDR[7],Output,PIN_AC21,7,B7_N0,,
LEDR[6],Output,PIN_AD21,7,B7_N0,,
LEDR[5],Output,PIN_AD23,7,B7_N0,,
LEDR[4],Output,PIN_AD22,7,B7_N0,,
LEDR[3],Output,PIN_AC22,7,B7_N0,,
LEDR[2],Output,PIN_AB21,7,B7_N0,,
LEDR[1],Output,PIN_AF23,7,B7_N0,,
LEDR[0],Output,PIN_AE23,7,B7_N0,,
OTG_ADDR[1],Output,PIN_F2,2,B2_N0,,
OTG_ADDR[0],Output,PIN_K7,2,B2_N0,,
OTG_CS_N,Output,PIN_F1,2,B2_N0,,
OTG_DACK0_N,Output,PIN_C2,2,B2_N0,,
OTG_DACK1_N,Output,PIN_B2,2,B2_N0,,
OTG_DATA[15],Bidir,PIN_K8,2,B2_N0,,
OTG_DATA[14],Bidir,PIN_J6,2,B2_N0,,
OTG_DATA[13],Bidir,PIN_G3,2,B2_N0,,
OTG_DATA[12],Bidir,PIN_G4,2,B2_N0,,
OTG_DATA[11],Bidir,PIN_K5,2,B2_N0,,
OTG_DATA[10],Bidir,PIN_K6,2,B2_N0,,
OTG_DATA[9],Bidir,PIN_E1,2,B2_N0,,
OTG_DATA[8],Bidir,PIN_E2,2,B2_N0,,
OTG_DATA[7],Bidir,PIN_H6,2,B2_N0,,
OTG_DATA[6],Bidir,PIN_J7,2,B2_N0,,
OTG_DATA[5],Bidir,PIN_J8,2,B2_N0,,
OTG_DATA[4],Bidir,PIN_J5,2,B2_N0,,
OTG_DATA[3],Bidir,PIN_F7,2,B2_N0,,
OTG_DATA[2],Bidir,PIN_D1,2,B2_N0,,
OTG_DATA[1],Bidir,PIN_D2,2,B2_N0,,
OTG_DATA[0],Bidir,PIN_F4,2,B2_N0,,
OTG_DREQ0,Input,PIN_F6,2,B2_N0,,
OTG_DREQ1,Input,PIN_E5,2,B2_N0,,
OTG_FSPEED,Output,PIN_F3,2,B2_N0,,
OTG_INT0,Input,PIN_B3,2,B2_N0,,
OTG_INT1,Input,PIN_C3,2,B2_N0,,
OTG_LSPEED,Output,PIN_G6,2,B2_N0,,
OTG_RD_N,Output,PIN_G2,2,B2_N0,,
OTG_RST_N,Output,PIN_G5,2,B2_N0,,
OTG_WR_N,Output,PIN_G1,2,B2_N0,,
PS2_CLK,Input,PIN_D26,5,B5_N0,,
PS2_DAT,Input,PIN_C24,5,B5_N0,,
SD_CLK,Output,PIN_AD25,6,B6_N1,,
SD_CMD,Bidir,PIN_Y21,6,B6_N1,,
SD_DAT,Bidir,PIN_AD24,6,B6_N1,,
SD_DAT3,Bidir,PIN_AC23,6,B6_N1,,
SRAM_ADDR[17],Output,PIN_AC8,8,B8_N1,,
SRAM_ADDR[16],Output,PIN_AB8,8,B8_N1,,
SRAM_ADDR[15],Output,PIN_Y10,8,B8_N1,,
SRAM_ADDR[14],Output,PIN_W10,8,B8_N1,,
SRAM_ADDR[13],Output,PIN_W8,8,B8_N1,,
SRAM_ADDR[12],Output,PIN_AC7,8,B8_N1,,
SRAM_ADDR[11],Output,PIN_V9,8,B8_N1,,
SRAM_ADDR[10],Output,PIN_V10,8,B8_N1,,
SRAM_ADDR[9],Output,PIN_AD7,8,B8_N1,,
SRAM_ADDR[8],Output,PIN_AD6,8,B8_N1,,
SRAM_ADDR[7],Output,PIN_AF5,8,B8_N1,,
SRAM_ADDR[6],Output,PIN_AE5,8,B8_N1,,
SRAM_ADDR[5],Output,PIN_AD5,8,B8_N1,,
SRAM_ADDR[4],Output,PIN_AD4,8,B8_N1,,
SRAM_ADDR[3],Output,PIN_AC6,8,B8_N1,,
SRAM_ADDR[2],Output,PIN_AC5,8,B8_N1,,
SRAM_ADDR[1],Output,PIN_AF4,8,B8_N1,,
SRAM_ADDR[0],Output,PIN_AE4,8,B8_N1,,
SRAM_CE_N,Output,PIN_AC11,8,B8_N0,,
SRAM_DQ[15],Bidir,PIN_AC10,8,B8_N0,,
SRAM_DQ[14],Bidir,PIN_AC9,8,B8_N0,,
SRAM_DQ[13],Bidir,PIN_W12,8,B8_N0,,
SRAM_DQ[12],Bidir,PIN_W11,8,B8_N0,,
SRAM_DQ[11],Bidir,PIN_AF8,8,B8_N0,,
SRAM_DQ[10],Bidir,PIN_AE8,8,B8_N0,,
SRAM_DQ[9],Bidir,PIN_AF7,8,B8_N1,,
SRAM_DQ[8],Bidir,PIN_AE7,8,B8_N1,,
SRAM_DQ[7],Bidir,PIN_Y11,8,B8_N1,,
SRAM_DQ[6],Bidir,PIN_AA11,8,B8_N1,,
SRAM_DQ[5],Bidir,PIN_AB10,8,B8_N1,,
SRAM_DQ[4],Bidir,PIN_AA10,8,B8_N1,,
SRAM_DQ[3],Bidir,PIN_AA9,8,B8_N1,,
SRAM_DQ[2],Bidir,PIN_AF6,8,B8_N1,,
SRAM_DQ[1],Bidir,PIN_AE6,8,B8_N1,,
SRAM_DQ[0],Bidir,PIN_AD8,8,B8_N1,,
SRAM_LB_N,Output,PIN_AE9,8,B8_N0,,
SRAM_OE_N,Output,PIN_AD10,8,B8_N0,,
SRAM_UB_N,Output,PIN_AF9,8,B8_N0,,
SRAM_WE_N,Output,PIN_AE10,8,B8_N0,,
SW[17],Input,PIN_V2,1,B1_N0,,
SW[16],Input,PIN_V1,1,B1_N0,,
SW[15],Input,PIN_U4,1,B1_N0,,
SW[14],Input,PIN_U3,1,B1_N0,,
SW[13],Input,PIN_T7,1,B1_N0,,
SW[12],Input,PIN_P2,1,B1_N0,,
SW[11],Input,PIN_P1,1,B1_N0,,
SW[10],Input,PIN_N1,2,B2_N1,,
SW[9],Input,PIN_A13,4,B4_N1,,
SW[8],Input,PIN_B13,4,B4_N1,,
SW[7],Input,PIN_C13,3,B3_N0,,
SW[6],Input,PIN_AC13,8,B8_N0,,
SW[5],Input,PIN_AD13,8,B8_N0,,
SW[4],Input,PIN_AF14,7,B7_N1,,
SW[3],Input,PIN_AE14,7,B7_N1,,
SW[2],Input,PIN_P25,6,B6_N0,,
SW[1],Input,PIN_N26,5,B5_N1,,
SW[0],Input,PIN_N25,5,B5_N1,,
TCK,Input,PIN_D14,4,B4_N1,,
TCS,Input,PIN_A14,4,B4_N1,,
TDI,Input,PIN_B14,4,B4_N1,,
TDO,Output,PIN_F14,4,B4_N1,,
TD_DATA[7],Input,PIN_C7,3,B3_N1,,
TD_DATA[6],Input,PIN_D7,3,B3_N1,,
TD_DATA[5],Input,PIN_F9,3,B3_N1,,
TD_DATA[4],Input,PIN_G9,3,B3_N1,,
TD_DATA[3],Input,PIN_H10,3,B3_N1,,
TD_DATA[2],Input,PIN_H8,3,B3_N1,,
TD_DATA[1],Input,PIN_E8,3,B3_N1,,
TD_DATA[0],Input,PIN_J9,3,B3_N1,,
TD_HS,Input,PIN_D5,3,B3_N1,,
TD_RESET,Output,PIN_C4,3,B3_N1,,
TD_VS,Input,PIN_K9,3,B3_N1,,
UART_RXD,Input,PIN_C25,5,B5_N0,,
UART_TXD,Output,PIN_B25,5,B5_N0,,
VGA_B[9],Output,PIN_B12,3,B3_N0,,
VGA_B[8],Output,PIN_C12,3,B3_N0,,
VGA_B[7],Output,PIN_B11,3,B3_N0,,
VGA_B[6],Output,PIN_C11,3,B3_N0,,
VGA_B[5],Output,PIN_J11,3,B3_N0,,
VGA_B[4],Output,PIN_J10,3,B3_N0,,
VGA_B[3],Output,PIN_G12,3,B3_N0,,
VGA_B[2],Output,PIN_F12,3,B3_N0,,
VGA_B[1],Output,PIN_J14,3,B3_N0,,
VGA_B[0],Output,PIN_J13,3,B3_N0,,
VGA_BLANK,Output,PIN_D6,3,B3_N1,,
VGA_CLK,Output,PIN_B8,3,B3_N0,,
VGA_G[9],Output,PIN_D12,3,B3_N0,,
VGA_G[8],Output,PIN_E12,3,B3_N0,,
VGA_G[7],Output,PIN_D11,3,B3_N0,,
VGA_G[6],Output,PIN_G11,3,B3_N0,,
VGA_G[5],Output,PIN_A10,3,B3_N0,,
VGA_G[4],Output,PIN_B10,3,B3_N0,,
VGA_G[3],Output,PIN_D10,3,B3_N0,,
VGA_G[2],Output,PIN_C10,3,B3_N0,,
VGA_G[1],Output,PIN_A9,3,B3_N0,,
VGA_G[0],Output,PIN_B9,3,B3_N0,,
VGA_HS,Output,PIN_A7,3,B3_N1,,
VGA_R[9],Output,PIN_E10,3,B3_N0,,
VGA_R[8],Output,PIN_F11,3,B3_N0,,
VGA_R[7],Output,PIN_H12,3,B3_N0,,
VGA_R[6],Output,PIN_H11,3,B3_N0,,
VGA_R[5],Output,PIN_A8,3,B3_N0,,
VGA_R[4],Output,PIN_C9,3,B3_N1,,
VGA_R[3],Output,PIN_D9,3,B3_N1,,
VGA_R[2],Output,PIN_G10,3,B3_N1,,
VGA_R[1],Output,PIN_F10,3,B3_N1,,
VGA_R[0],Output,PIN_C8,3,B3_N1,,
VGA_SYNC,Output,PIN_B7,3,B3_N1,,
VGA_VS,Output,PIN_D8,3,B3_N1,,
